ISO,Population,Population_bracket,GDP,GDP_bracket,GDP_per_capita,GDP_per_capita_bracket,GATT
SYC,0.084494427,1,722.54547,2,8551.397951961968,8,0
SYR,19.043383,8,28433.986,7,1493.1163228718344,5,0
TCD,9.7489309,7,5885.4531,5,603.7024121280826,3,1
TGO,6.1450038,6,2109.2048,3,343.2389740751666,2,1
THA,64.232758,10,176221.7,9,2743.4864310201347,6,1
TJK,6.5502129,6,2312.0227,3,352.9690920427945,2,0
TKM,4.8332658,5,8102.3403,6,1676.3696918965225,5,0
TMP,0.97553849,3,350.0,1,358.7762077947329,2,0
TON,0.102311,1,214.51363,1,2096.6819794547996,5,0
TTO,1.305236,3,16207.379,7,12417.201946621148,8,1
TUN,10.029,7,28683.346,7,2860.0404826004587,6,1
TUR,72.065002,10,363369.63,10,5042.2482469368415,7,1
TUV,0.009912,1,21.0,1,2118.64406779661,5,0
TWN,22.65,8,345862.0,10,15269.845474613687,8,1
TZA,38.477875,9,12586.291,6,327.1046283091257,2,1
UGA,28.816229,9,8724.4775,6,302.76263767892743,2,1
UKR,47.075294,9,86136.977,8,1829.7703462032548,5,0
URY,3.305723,4,16613.783,7,5025.763804166289,7,1
USA,296.4104,10,1.2416505e7,10,41889.57270055302,10,1
UZB,26.16737,9,14604.862,7,558.1325903214577,3,0
VCT,0.119051,2,430.0,2,3611.897422113212,6,1
VEN,26.577,9,144822.55,9,5449.168453926326,7,1
VNM,83.104897,10,52917.359,8,636.7538004409055,3,0
VUT,0.211367,2,367.97754,1,1740.9413011491858,5,0
WSM,0.184984,2,403.92175,1,2183.54965834883,5,0
YEM,20.974655,8,16745.824,7,798.383763642358,4,0
YUG,8.0642529,6,26215.215,7,3250.7927671762377,6,0
ZAF,46.888199,9,242058.92,9,5162.469985251513,7,1
ZAR,57.548744,9,7103.5391,5,123.43517175631149,1,1
ZMB,11.668457,7,7270.0747,5,623.0536479673362,3,1
ZWE,13.009534,7,3418.0935,4,262.73758153059134,1,1
